Name,Name
Aruba,Oranjestad
Afghanistan,Kabul
Angola,Luanda
Anguilla,"The Valley"
Albania,Tirana
Andorra,"Andorra la Vella"
"Netherlands Antilles",Willemstad
"United Arab Emirates","Abu Dhabi"
Argentina,"Buenos Aires"
Armenia,Yerevan
"American Samoa",Fagatogo
"Antigua and Barbuda","Saint John´s"
Australia,Canberra
Austria,Wien
Azerbaijan,Bakı
Burundi,Bujumbura
Belgium,"Bruxelles [Brussel]"
Benin,Porto-Novo
"Burkina Faso",Ouagadougou
Bangladesh,Dhaka
Bulgaria,Sofija
Bahrain,al-Manama
Bahamas,Nassau
"Bosnia and Herzegovina",Sarajevo
Belarus,Minsk
Belize,Belmopan
Bermuda,Hamilton
Bolivia,"La Paz"
Brazil,Brasília
Barbados,Bridgetown
Brunei,"Bandar Seri Begawan"
Bhutan,Thimphu
Botswana,Gaborone
"Central African Republic",Bangui
Canada,Ottawa
"Cocos (Keeling) Islands","West Island"
Switzerland,Bern
Chile,"Santiago de Chile"
China,Peking
"Côte d’Ivoire",Yamoussoukro
Cameroon,Yaoundé
"Congo, The Democratic Republic of the",Kinshasa
Congo,Brazzaville
"Cook Islands",Avarua
Colombia,"Santafé de Bogotá"
Comoros,Moroni
"Cape Verde",Praia
"Costa Rica","San José"
Cuba,"La Habana"
"Christmas Island","Flying Fish Cove"
"Cayman Islands","George Town"
Cyprus,Nicosia
"Czech Republic",Praha
Germany,Berlin
Djibouti,Djibouti
Dominica,Roseau
Denmark,København
"Dominican Republic","Santo Domingo de Guzmán"
Algeria,Alger
Ecuador,Quito
Egypt,Cairo
Eritrea,Asmara
"Western Sahara",El-Aaiún
Spain,Madrid
Estonia,Tallinn
Ethiopia,"Addis Abeba"
Finland,"Helsinki [Helsingfors]"
"Fiji Islands",Suva
"Falkland Islands",Stanley
France,Paris
"Faroe Islands",Tórshavn
"Micronesia, Federated States of",Palikir
Gabon,Libreville
"United Kingdom",London
Georgia,Tbilisi
Ghana,Accra
Gibraltar,Gibraltar
Guinea,Conakry
Guadeloupe,Basse-Terre
Gambia,Banjul
Guinea-Bissau,Bissau
"Equatorial Guinea",Malabo
Greece,Athenai
Grenada,"Saint George´s"
Greenland,Nuuk
Guatemala,"Ciudad de Guatemala"
"French Guiana",Cayenne
Guam,Agaña
Guyana,Georgetown
"Hong Kong",Victoria
Honduras,Tegucigalpa
Croatia,Zagreb
Haiti,Port-au-Prince
Hungary,Budapest
Indonesia,Jakarta
India,"New Delhi"
Ireland,Dublin
Iran,Teheran
Iraq,Baghdad
Iceland,Reykjavík
Israel,Jerusalem
Italy,Roma
Jamaica,Kingston
Jordan,Amman
Japan,Tokyo
Kazakstan,Astana
Kenya,Nairobi
Kyrgyzstan,Bishkek
Cambodia,"Phnom Penh"
Kiribati,Bairiki
"Saint Kitts and Nevis",Basseterre
"South Korea",Seoul
Kuwait,Kuwait
Laos,Vientiane
Lebanon,Beirut
Liberia,Monrovia
"Libyan Arab Jamahiriya",Tripoli
"Saint Lucia",Castries
